time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	155	12	0	143	155	12	0	143
00:05:00	300	152	110	0	185	152	110	0	185
00:10:00	600	154	145	0	194	154	145	0	194
00:15:00	900	123	142	0	175	123	142	0	175
00:20:00	1200	113	133	0	155	113	133	0	155
00:25:00	1500	125	115	0	165	125	115	0	165
00:30:00	1800	140	127	0	178	140	127	0	178
00:35:00	2100	98	131	0	145	98	131	0	145
00:40:00	2400	95	108	0	132	95	108	0	132
00:45:00	2700	95	96	0	131	95	96	0	131
00:50:00	3000	89	96	0	124	89	96	0	124
00:55:00	3300	64	92	0	96	64	92	0	96
01:00:00	3600	106	81	0	121	106	81	0	121
01:05:00	3900	121	85	0	157	121	85	0	157
01:10:00	4200	112	122	0	147	112	122	0	147
01:15:00	4500	112	110	0	149	112	110	0	149
01:20:00	4800	119	103	0	165	119	103	0	165
01:25:00	5100	90	134	0	121	90	134	0	121
01:30:00	5400	99	92	0	128	99	92	0	128
01:35:00	5700	101	105	0	124	101	105	0	124
01:40:00	6000	85	103	0	106	85	103	0	106
01:45:00	6300	74	83	0	97	74	83	0	97
01:50:00	6600	98	68	0	127	98	68	0	127
01:55:00	6900	64	84	0	107	64	84	0	107
02:00:00	7200	92	80	0	119	92	80	0	119
02:05:00	7500	68	87	0	100	68	87	0	100
02:10:00	7800	77	79	0	98	77	79	0	98
02:15:00	8100	100	76	0	122	100	76	0	122
02:20:00	8400	87	87	0	122	87	87	0	122
02:25:00	8700	91	98	0	115	91	98	0	115
02:30:00	9000	104	88	0	131	104	88	0	131
02:35:00	9300	116	100	0	147	116	100	0	147
02:40:00	9600	116	109	0	154	116	109	0	154
02:45:00	9900	112	116	0	150	112	116	0	150
02:50:00	10200	117	107	0	160	117	107	0	160
02:55:00	10500	133	124	0	169	133	124	0	169
03:00:00	10800	115	122	0	162	115	122	0	162
03:05:00	11100	96	111	0	147	96	111	0	147
03:10:00	11400	120	114	0	153	120	114	0	153
03:15:00	11700	84	121	0	116	84	121	0	116
03:20:00	12000	130	98	0	148	130	98	0	148
03:25:00	12300	115	100	0	163	115	100	0	163
03:30:00	12600	95	125	0	133	95	125	0	133
03:35:00	12900	88	99	0	122	88	99	0	122
03:40:00	13200	114	89	0	147	114	89	0	147
03:45:00	13500	100	113	0	134	100	113	0	134
03:50:00	13800	83	102	0	115	83	102	0	115
03:55:00	14100	71	87	0	99	71	87	0	99
04:00:00	14400	140	86	0	153	140	86	0	153
04:05:00	14700	163	115	0	201	163	115	0	201
04:10:00	15000	173	151	0	223	173	151	0	223
04:15:00	15300	164	154	0	233	164	154	0	233
04:20:00	15600	145	172	0	206	145	172	0	206
04:25:00	15900	176	149	0	233	176	149	0	233
04:30:00	16200	139	162	0	210	139	162	0	210
04:35:00	16500	174	174	0	210	174	174	0	210
04:40:00	16800	166	163	0	213	166	163	0	213
04:45:00	17100	147	158	0	202	147	158	0	202
04:50:00	17400	156	158	0	200	156	158	0	200
04:55:00	17700	172	161	0	211	172	161	0	211
05:00:00	18000	646	196	0	661	646	196	0	661
05:05:00	18300	643	480	0	824	643	480	0	824
05:10:00	18600	635	619	0	840	635	619	0	840
05:15:00	18900	629	641	0	828	629	641	0	828
05:20:00	19200	666	637	0	857	666	637	0	857
05:25:00	19500	662	632	0	887	662	632	0	887
05:30:00	19800	654	655	0	886	654	655	0	886
05:35:00	20100	691	693	0	884	691	693	0	884
05:40:00	20400	690	657	0	917	690	657	0	917
05:45:00	20700	641	690	0	868	641	690	0	868
05:50:00	21000	689	654	0	903	689	654	0	903
05:55:00	21300	692	676	0	919	692	676	0	919
06:00:00	21600	1927	769	0	2077	1927	769	0	2077
06:05:00	21900	2038	1477	0	2638	2038	1477	0	2638
06:10:00	22200	1921	1887	0	2672	1921	1887	0	2672
06:15:00	22500	1969	1883	0	2758	1969	1883	0	2758
06:20:00	22800	2006	1933	0	2831	2006	1933	0	2831
06:25:00	23100	1954	1895	0	2890	1954	1895	0	2890
06:30:00	23400	1889	1876	0	2903	1889	1876	0	2903
06:35:00	23700	1949	1886	0	2966	1949	1886	0	2966
06:40:00	24000	1967	1801	0	3132	1967	1801	0	3132
06:45:00	24300	1891	1908	0	3115	1891	1908	0	3115
06:50:00	24600	1944	1871	0	3188	1944	1871	0	3188
06:55:00	24900	1933	1810	0	3311	1933	1810	0	3311
07:00:00	25200	2575	1896	0	3990	2575	1896	0	3990
07:05:00	25500	2522	2095	0	4417	2522	2095	0	4417
07:10:00	25800	2506	2219	0	4704	2506	2219	0	4704
07:15:00	26100	2497	2091	0	5110	2497	2091	0	5110
07:20:00	26400	2474	2076	0	5508	2474	2076	0	5508
07:25:00	26700	2446	2132	0	5822	2446	2132	0	5822
07:30:00	27000	2433	2160	0	6095	2433	2160	0	6095
07:35:00	27300	2526	2009	0	6612	2526	2009	0	6612
07:40:00	27600	2435	2072	0	6975	2435	2072	0	6975
07:45:00	27900	2494	2149	0	7320	2494	2149	0	7320
07:50:00	28200	2455	2044	0	7731	2455	2044	0	7731
07:55:00	28500	2493	2043	0	8181	2493	2043	0	8181
08:00:00	28800	964	1936	0	7209	964	1936	0	7209
08:05:00	29100	990	1670	0	6529	990	1670	0	6529
08:10:00	29400	992	1380	0	6141	992	1380	0	6141
08:15:00	29700	987	1315	0	5813	987	1315	0	5813
08:20:00	30000	963	1341	0	5435	963	1341	0	5435
08:25:00	30300	1015	1243	0	5207	1015	1243	0	5207
08:30:00	30600	994	1156	0	5045	994	1156	0	5045
08:35:00	30900	1042	1152	0	4935	1042	1152	0	4935
08:40:00	31200	927	1079	0	4783	927	1079	0	4783
08:45:00	31500	1025	1103	0	4705	1025	1103	0	4705
08:50:00	31800	1025	1175	0	4555	1025	1175	0	4555
08:55:00	32100	1015	1123	0	4447	1015	1123	0	4447
09:00:00	32400	352	1098	0	3701	352	1098	0	3701
09:05:00	32700	363	889	0	3175	363	889	0	3175
09:10:00	33000	382	683	0	2874	382	683	0	2874
09:15:00	33300	348	732	0	2490	348	732	0	2490
09:20:00	33600	329	672	0	2147	329	672	0	2147
09:25:00	33900	347	591	0	1903	347	591	0	1903
09:30:00	34200	337	586	0	1654	337	586	0	1654
09:35:00	34500	350	490	0	1514	350	490	0	1514
09:40:00	34800	320	492	0	1342	320	492	0	1342
09:45:00	35100	360	494	0	1208	360	494	0	1208
09:50:00	35400	336	459	0	1085	336	459	0	1085
09:55:00	35700	344	500	0	929	344	500	0	929
10:00:00	36000	263	479	0	713	263	479	0	713
10:05:00	36300	244	409	0	548	244	409	0	548
10:10:00	36600	245	370	0	423	245	370	0	423
10:15:00	36900	250	329	0	344	250	329	0	344
10:20:00	37200	246	273	0	317	246	273	0	317
10:25:00	37500	253	231	0	339	253	231	0	339
10:30:00	37800	268	255	0	352	268	255	0	352
10:35:00	38100	254	267	0	339	254	267	0	339
10:40:00	38400	257	255	0	341	257	255	0	341
10:45:00	38700	287	259	0	369	287	259	0	369
10:50:00	39000	253	281	0	341	253	281	0	341
10:55:00	39300	258	263	0	336	258	263	0	336
11:00:00	39600	123	243	0	216	123	243	0	216
11:05:00	39900	133	175	0	174	133	175	0	174
11:10:00	40200	101	142	0	133	101	142	0	133
11:15:00	40500	128	106	0	155	128	106	0	155
11:20:00	40800	128	122	0	161	128	122	0	161
11:25:00	41100	150	115	0	196	150	115	0	196
11:30:00	41400	111	141	0	166	111	141	0	166
11:35:00	41700	130	131	0	165	130	131	0	165
11:40:00	42000	126	116	0	175	126	116	0	175
11:45:00	42300	124	130	0	169	124	130	0	169
11:50:00	42600	112	135	0	146	112	135	0	146
11:55:00	42900	141	109	0	178	141	109	0	178
12:00:00	43200	253	147	0	284	253	147	0	284
12:05:00	43500	258	206	0	336	258	206	0	336
12:10:00	43800	299	260	0	375	299	260	0	375
12:15:00	44100	284	271	0	388	284	271	0	388
12:20:00	44400	280	298	0	370	280	298	0	370
12:25:00	44700	291	257	0	404	291	257	0	404
12:30:00	45000	276	297	0	383	276	297	0	383
12:35:00	45300	283	298	0	368	283	298	0	368
12:40:00	45600	312	283	0	397	312	283	0	397
12:45:00	45900	319	296	0	420	319	296	0	420
12:50:00	46200	284	317	0	387	284	317	0	387
12:55:00	46500	299	304	0	382	299	304	0	382
13:00:00	46800	485	309	0	558	485	309	0	558
13:05:00	47100	467	395	0	630	467	395	0	630
13:10:00	47400	468	470	0	628	468	470	0	628
13:15:00	47700	476	488	0	616	476	488	0	616
13:20:00	48000	460	477	0	599	460	477	0	599
13:25:00	48300	455	453	0	601	455	453	0	601
13:30:00	48600	480	453	0	628	480	453	0	628
13:35:00	48900	438	460	0	606	438	460	0	606
13:40:00	49200	512	497	0	621	512	497	0	621
13:45:00	49500	575	480	0	716	575	480	0	716
13:50:00	49800	528	507	0	737	528	507	0	737
13:55:00	50100	494	555	0	676	494	555	0	676
14:00:00	50400	311	517	0	470	311	517	0	470
14:05:00	50700	340	365	0	445	340	365	0	445
14:10:00	51000	398	332	0	511	398	332	0	511
14:15:00	51300	439	371	0	579	439	371	0	579
14:20:00	51600	464	445	0	598	464	445	0	598
14:25:00	51900	477	440	0	635	477	440	0	635
14:30:00	52200	574	502	0	707	574	502	0	707
14:35:00	52500	583	514	0	776	583	514	0	776
14:40:00	52800	607	584	0	799	607	584	0	799
14:45:00	53100	635	598	0	836	635	598	0	836
14:50:00	53400	680	626	0	890	680	626	0	890
14:55:00	53700	801	655	0	1036	801	655	0	1036
15:00:00	54000	759	762	0	1033	759	762	0	1033
15:05:00	54300	860	813	0	1080	860	813	0	1080
15:10:00	54600	922	795	0	1207	922	795	0	1207
15:15:00	54900	1056	947	0	1316	1056	947	0	1316
15:20:00	55200	1173	968	0	1521	1173	968	0	1521
15:25:00	55500	1282	1173	0	1630	1282	1173	0	1630
15:30:00	55800	1431	1224	0	1837	1431	1224	0	1837
15:35:00	56100	1504	1362	0	1979	1504	1362	0	1979
15:40:00	56400	1647	1468	0	2158	1647	1468	0	2158
15:45:00	56700	1735	1628	0	2265	1735	1628	0	2265
15:50:00	57000	1812	1616	0	2461	1812	1616	0	2461
15:55:00	57300	1809	1732	0	2538	1809	1732	0	2538
16:00:00	57600	1901	1796	0	2643	1901	1796	0	2643
16:05:00	57900	1996	1838	0	2801	1996	1838	0	2801
16:10:00	58200	2044	1839	0	3006	2044	1839	0	3006
16:15:00	58500	2120	1930	0	3196	2120	1930	0	3196
16:20:00	58800	2215	2009	0	3402	2215	2009	0	3402
16:25:00	59100	2211	2065	0	3548	2211	2065	0	3548
16:30:00	59400	2248	2059	0	3737	2248	2059	0	3737
16:35:00	59700	2344	2129	0	3952	2344	2129	0	3952
16:40:00	60000	2401	2107	0	4246	2401	2107	0	4246
