time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	174	17	0	157	174	17	0	157
00:05:00	300	144	120	0	181	144	120	0	181
00:10:00	600	149	144	0	186	149	144	0	186
00:15:00	900	116	134	0	168	116	134	0	168
00:20:00	1200	107	127	0	148	107	127	0	148
00:25:00	1500	131	114	0	165	131	114	0	165
00:30:00	1800	137	125	0	177	137	125	0	177
00:35:00	2100	101	130	0	148	101	130	0	148
00:40:00	2400	94	108	0	134	94	108	0	134
00:45:00	2700	94	101	0	127	94	101	0	127
00:50:00	3000	91	93	0	125	91	93	0	125
00:55:00	3300	79	99	0	105	79	99	0	105
01:00:00	3600	105	84	0	126	105	84	0	126
01:05:00	3900	122	83	0	165	122	83	0	165
01:10:00	4200	117	125	0	157	117	125	0	157
01:15:00	4500	109	115	0	151	109	115	0	151
01:20:00	4800	111	104	0	158	111	104	0	158
01:25:00	5100	85	126	0	117	85	126	0	117
01:30:00	5400	95	92	0	120	95	92	0	120
01:35:00	5700	98	98	0	120	98	98	0	120
01:40:00	6000	84	95	0	109	84	95	0	109
01:45:00	6300	78	85	0	102	78	85	0	102
01:50:00	6600	96	70	0	128	96	70	0	128
01:55:00	6900	66	86	0	108	66	86	0	108
02:00:00	7200	85	81	0	112	85	81	0	112
02:05:00	7500	76	84	0	104	76	84	0	104
02:10:00	7800	76	82	0	98	76	82	0	98
02:15:00	8100	98	71	0	125	98	71	0	125
02:20:00	8400	94	90	0	129	94	90	0	129
02:25:00	8700	94	103	0	120	94	103	0	120
02:30:00	9000	111	91	0	140	111	91	0	140
02:35:00	9300	108	102	0	146	108	102	0	146
02:40:00	9600	115	112	0	149	115	112	0	149
02:45:00	9900	112	109	0	152	112	109	0	152
02:50:00	10200	124	108	0	168	124	108	0	168
02:55:00	10500	124	125	0	167	124	125	0	167
03:00:00	10800	113	126	0	154	113	126	0	154
03:05:00	11100	100	106	0	148	100	106	0	148
03:10:00	11400	116	114	0	150	116	114	0	150
03:15:00	11700	88	115	0	123	88	115	0	123
03:20:00	12000	117	98	0	142	117	98	0	142
03:25:00	12300	113	99	0	156	113	99	0	156
03:30:00	12600	106	116	0	146	106	116	0	146
03:35:00	12900	85	111	0	120	85	111	0	120
03:40:00	13200	119	91	0	148	119	91	0	148
03:45:00	13500	98	114	0	132	98	114	0	132
03:50:00	13800	92	96	0	128	92	96	0	128
03:55:00	14100	75	95	0	108	75	95	0	108
04:00:00	14400	131	91	0	148	131	91	0	148
04:05:00	14700	156	114	0	190	156	114	0	190
04:10:00	15000	176	139	0	227	176	139	0	227
04:15:00	15300	168	156	0	239	168	156	0	239
04:20:00	15600	149	171	0	217	149	171	0	217
04:25:00	15900	166	156	0	227	166	156	0	227
04:30:00	16200	156	162	0	221	156	162	0	221
04:35:00	16500	175	174	0	222	175	174	0	222
04:40:00	16800	181	172	0	231	181	172	0	231
04:45:00	17100	165	164	0	232	165	164	0	232
04:50:00	17400	174	176	0	230	174	176	0	230
04:55:00	17700	195	176	0	249	195	176	0	249
05:00:00	18000	635	212	0	672	635	212	0	672
05:05:00	18300	625	494	0	803	625	494	0	803
05:10:00	18600	616	612	0	807	616	612	0	807
05:15:00	18900	633	608	0	832	633	608	0	832
05:20:00	19200	641	635	0	838	641	635	0	838
05:25:00	19500	674	617	0	895	674	617	0	895
05:30:00	19800	669	655	0	909	669	655	0	909
05:35:00	20100	705	701	0	913	705	701	0	913
05:40:00	20400	723	659	0	977	723	659	0	977
05:45:00	20700	693	742	0	928	693	742	0	928
05:50:00	21000	737	692	0	973	737	692	0	973
05:55:00	21300	759	726	0	1006	759	726	0	1006
06:00:00	21600	1865	820	0	2051	1865	820	0	2051
06:05:00	21900	1974	1437	0	2588	1974	1437	0	2588
06:10:00	22200	1875	1859	0	2604	1875	1859	0	2604
06:15:00	22500	1942	1872	0	2674	1942	1872	0	2674
06:20:00	22800	1974	1936	0	2712	1974	1936	0	2712
06:25:00	23100	1935	1890	0	2757	1935	1890	0	2757
06:30:00	23400	1906	1890	0	2773	1906	1890	0	2773
06:35:00	23700	1973	1899	0	2847	1973	1899	0	2847
06:40:00	24000	1971	1879	0	2939	1971	1879	0	2939
06:45:00	24300	1924	1944	0	2919	1924	1944	0	2919
06:50:00	24600	1952	1946	0	2925	1952	1946	0	2925
06:55:00	24900	1956	1871	0	3010	1956	1871	0	3010
07:00:00	25200	2535	1934	0	3611	2535	1934	0	3611
07:05:00	25500	2523	2159	0	3975	2523	2159	0	3975
07:10:00	25800	2531	2321	0	4185	2531	2321	0	4185
07:15:00	26100	2453	2236	0	4402	2453	2236	0	4402
07:20:00	26400	2472	2245	0	4629	2472	2245	0	4629
07:25:00	26700	2445	2310	0	4764	2445	2310	0	4764
