time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	165	16	0	149	165	16	0	149
00:05:00	300	146	117	0	178	146	117	0	178
00:10:00	600	154	135	0	197	154	135	0	197
00:15:00	900	124	147	0	174	124	147	0	174
00:20:00	1200	112	133	0	153	112	133	0	153
00:25:00	1500	122	114	0	161	122	114	0	161
00:30:00	1800	140	124	0	177	140	124	0	177
00:35:00	2100	95	126	0	146	95	126	0	146
00:40:00	2400	96	106	0	136	96	106	0	136
00:45:00	2700	98	100	0	134	98	100	0	134
00:50:00	3000	94	96	0	132	94	96	0	132
00:55:00	3300	60	94	0	98	60	94	0	98
01:00:00	3600	107	83	0	122	107	83	0	122
01:05:00	3900	123	84	0	161	123	84	0	161
01:10:00	4200	111	126	0	146	111	126	0	146
01:15:00	4500	110	102	0	154	110	102	0	154
01:20:00	4800	118	109	0	163	118	109	0	163
01:25:00	5100	91	128	0	126	91	128	0	126
01:30:00	5400	94	93	0	127	94	93	0	127
01:35:00	5700	97	100	0	124	97	100	0	124
01:40:00	6000	92	105	0	111	92	105	0	111
01:45:00	6300	71	88	0	94	71	88	0	94
01:50:00	6600	90	67	0	117	90	67	0	117
01:55:00	6900	68	80	0	105	68	80	0	105
02:00:00	7200	100	78	0	127	100	78	0	127
02:05:00	7500	70	92	0	105	70	92	0	105
02:10:00	7800	86	83	0	108	86	83	0	108
02:15:00	8100	100	80	0	128	100	80	0	128
02:20:00	8400	82	90	0	120	82	90	0	120
02:25:00	8700	88	96	0	112	88	96	0	112
02:30:00	9000	102	84	0	130	102	84	0	130
02:35:00	9300	109	95	0	144	109	95	0	144
02:40:00	9600	118	106	0	156	118	106	0	156
02:45:00	9900	118	113	0	161	118	113	0	161
02:50:00	10200	110	117	0	154	110	117	0	154
02:55:00	10500	135	121	0	168	135	121	0	168
03:00:00	10800	115	119	0	164	115	119	0	164
03:05:00	11100	101	109	0	156	101	109	0	156
03:10:00	11400	115	121	0	150	115	121	0	150
03:15:00	11700	86	119	0	117	86	119	0	117
03:20:00	12000	129	91	0	155	129	91	0	155
03:25:00	12300	115	106	0	164	115	106	0	164
03:30:00	12600	91	124	0	131	91	124	0	131
03:35:00	12900	97	99	0	129	97	99	0	129
03:40:00	13200	120	92	0	157	120	92	0	157
03:45:00	13500	103	122	0	138	103	122	0	138
03:50:00	13800	90	99	0	129	90	99	0	129
03:55:00	14100	68	101	0	96	68	101	0	96
04:00:00	14400	132	82	0	146	132	82	0	146
04:05:00	14700	162	112	0	196	162	112	0	196
04:10:00	15000	169	144	0	221	169	144	0	221
04:15:00	15300	165	153	0	233	165	153	0	233
04:20:00	15600	159	170	0	222	159	170	0	222
04:25:00	15900	171	160	0	233	171	160	0	233
04:30:00	16200	144	164	0	213	144	164	0	213
04:35:00	16500	181	178	0	216	181	178	0	216
04:40:00	16800	178	168	0	226	178	168	0	226
04:45:00	17100	169	167	0	228	169	167	0	228
04:50:00	17400	169	170	0	227	169	170	0	227
04:55:00	17700	189	179	0	237	189	179	0	237
05:00:00	18000	637	205	0	669	637	205	0	669
05:05:00	18300	609	476	0	802	609	476	0	802
05:10:00	18600	619	611	0	810	619	611	0	810
05:15:00	18900	618	608	0	820	618	608	0	820
05:20:00	19200	669	633	0	856	669	633	0	856
05:25:00	19500	670	631	0	895	670	631	0	895
05:30:00	19800	670	650	0	915	670	650	0	915
05:35:00	20100	721	711	0	925	721	711	0	925
05:40:00	20400	713	694	0	944	713	694	0	944
05:45:00	20700	684	695	0	933	684	695	0	933
05:50:00	21000	757	691	0	999	757	691	0	999
05:55:00	21300	735	753	0	981	735	753	0	981
06:00:00	21600	1872	794	0	2059	1872	794	0	2059
06:05:00	21900	1984	1453	0	2590	1984	1453	0	2590
06:10:00	22200	1872	1835	0	2627	1872	1835	0	2627
06:15:00	22500	1953	1912	0	2668	1953	1912	0	2668
06:20:00	22800	1975	1898	0	2745	1975	1898	0	2745
06:25:00	23100	1953	1938	0	2760	1953	1938	0	2760
06:30:00	23400	1880	1890	0	2750	1880	1890	0	2750
06:35:00	23700	1948	1874	0	2824	1948	1874	0	2824
06:40:00	24000	1979	1849	0	2954	1979	1849	0	2954
06:45:00	24300	1931	1928	0	2957	1931	1928	0	2957
06:50:00	24600	1949	1917	0	2989	1949	1917	0	2989
06:55:00	24900	1981	1860	0	3110	1981	1860	0	3110
