time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	167	19	0	148	167	19	0	148
00:05:00	300	143	121	0	170	143	121	0	170
00:10:00	600	150	136	0	184	150	136	0	184
00:15:00	900	120	134	0	170	120	134	0	170
00:20:00	1200	114	128	0	156	114	128	0	156
00:25:00	1500	124	113	0	167	124	113	0	167
00:30:00	1800	143	131	0	179	143	131	0	179
00:35:00	2100	102	123	0	158	102	123	0	158
00:40:00	2400	91	114	0	135	91	114	0	135
00:45:00	2700	96	100	0	131	96	100	0	131
00:50:00	3000	92	96	0	127	92	96	0	127
00:55:00	3300	66	91	0	102	66	91	0	102
01:00:00	3600	105	85	0	122	105	85	0	122
01:05:00	3900	114	82	0	154	114	82	0	154
01:10:00	4200	109	122	0	141	109	122	0	141
01:15:00	4500	114	107	0	148	114	107	0	148
01:20:00	4800	120	103	0	165	120	103	0	165
01:25:00	5100	88	132	0	121	88	132	0	121
01:30:00	5400	103	92	0	132	103	92	0	132
01:35:00	5700	94	104	0	122	94	104	0	122
01:40:00	6000	88	105	0	105	88	105	0	105
01:45:00	6300	73	83	0	95	73	83	0	95
01:50:00	6600	98	63	0	130	98	63	0	130
01:55:00	6900	78	88	0	120	78	88	0	120
02:00:00	7200	87	88	0	119	87	88	0	119
02:05:00	7500	70	88	0	101	70	88	0	101
02:10:00	7800	80	81	0	100	80	81	0	100
02:15:00	8100	103	76	0	127	103	76	0	127
02:20:00	8400	75	90	0	112	75	90	0	112
02:25:00	8700	87	85	0	114	87	85	0	114
02:30:00	9000	108	86	0	136	108	86	0	136
02:35:00	9300	114	101	0	149	114	101	0	149
02:40:00	9600	120	106	0	163	120	106	0	163
02:45:00	9900	118	126	0	155	118	126	0	155
02:50:00	10200	122	109	0	168	122	109	0	168
02:55:00	10500	122	130	0	160	122	130	0	160
03:00:00	10800	113	120	0	153	113	120	0	153
03:05:00	11100	95	105	0	143	95	105	0	143
03:10:00	11400	123	104	0	162	123	104	0	162
03:15:00	11700	82	128	0	116	82	128	0	116
03:20:00	12000	129	96	0	149	129	96	0	149
03:25:00	12300	119	101	0	167	119	101	0	167
03:30:00	12600	95	127	0	135	95	127	0	135
03:35:00	12900	94	103	0	126	94	103	0	126
03:40:00	13200	116	90	0	152	116	90	0	152
03:45:00	13500	98	114	0	136	98	114	0	136
03:50:00	13800	86	103	0	119	86	103	0	119
03:55:00	14100	77	90	0	106	77	90	0	106
04:00:00	14400	136	92	0	150	136	92	0	150
04:05:00	14700	156	109	0	197	156	109	0	197
04:10:00	15000	167	149	0	215	167	149	0	215
04:15:00	15300	163	148	0	230	163	148	0	230
04:20:00	15600	140	169	0	201	140	169	0	201
04:25:00	15900	173	145	0	229	173	145	0	229
04:30:00	16200	146	163	0	212	146	163	0	212
04:35:00	16500	174	167	0	219	174	167	0	219
04:40:00	16800	163	165	0	217	163	165	0	217
04:45:00	17100	173	163	0	227	173	163	0	227
04:50:00	17400	181	183	0	225	181	183	0	225
04:55:00	17700	197	179	0	243	197	179	0	243
05:00:00	18000	624	208	0	659	624	208	0	659
05:05:00	18300	623	479	0	803	623	479	0	803
05:10:00	18600	629	593	0	839	629	593	0	839
05:15:00	18900	634	633	0	840	634	633	0	840
05:20:00	19200	672	638	0	874	672	638	0	874
05:25:00	19500	665	641	0	898	665	641	0	898
05:30:00	19800	644	656	0	886	644	656	0	886
05:35:00	20100	700	687	0	899	700	687	0	899
05:40:00	20400	691	665	0	925	691	665	0	925
