time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	163	11	0	152	163	11	0	152
00:05:00	300	145	117	0	180	145	117	0	180
00:10:00	600	157	144	0	193	157	144	0	193
00:15:00	900	124	145	0	172	124	145	0	172
00:20:00	1200	106	126	0	152	106	126	0	152
00:25:00	1500	128	111	0	169	128	111	0	169
00:30:00	1800	127	124	0	172	127	124	0	172
00:35:00	2100	101	132	0	141	101	132	0	141
00:40:00	2400	105	104	0	142	105	104	0	142
00:45:00	2700	95	104	0	133	95	104	0	133
00:50:00	3000	85	98	0	120	85	98	0	120
00:55:00	3300	70	89	0	101	70	89	0	101
01:00:00	3600	106	82	0	125	106	82	0	125
01:05:00	3900	124	88	0	161	124	88	0	161
01:10:00	4200	100	123	0	138	100	123	0	138
01:15:00	4500	115	105	0	148	115	105	0	148
01:20:00	4800	126	100	0	174	126	100	0	174
01:25:00	5100	93	139	0	128	93	139	0	128
01:30:00	5400	102	97	0	133	102	97	0	133
01:35:00	5700	100	106	0	127	100	106	0	127
01:40:00	6000	85	105	0	107	85	105	0	107
01:45:00	6300	70	82	0	95	70	82	0	95
01:50:00	6600	84	67	0	112	84	67	0	112
01:55:00	6900	64	77	0	99	64	77	0	99
02:00:00	7200	96	68	0	127	96	68	0	127
02:05:00	7500	75	90	0	112	75	90	0	112
02:10:00	7800	85	88	0	109	85	88	0	109
02:15:00	8100	98	85	0	122	98	85	0	122
02:20:00	8400	86	89	0	119	86	89	0	119
02:25:00	8700	94	91	0	122	94	91	0	122
02:30:00	9000	102	93	0	131	102	93	0	131
02:35:00	9300	112	99	0	144	112	99	0	144
02:40:00	9600	112	104	0	152	112	104	0	152
02:45:00	9900	109	114	0	147	109	114	0	147
02:50:00	10200	107	106	0	148	107	106	0	148
02:55:00	10500	141	113	0	176	141	113	0	176
03:00:00	10800	118	125	0	169	118	125	0	169
03:05:00	11100	90	114	0	145	90	114	0	145
03:10:00	11400	124	110	0	159	124	110	0	159
03:15:00	11700	87	128	0	118	87	128	0	118
03:20:00	12000	130	100	0	148	130	100	0	148
03:25:00	12300	109	102	0	155	109	102	0	155
03:30:00	12600	93	120	0	128	93	120	0	128
03:35:00	12900	90	90	0	128	90	90	0	128
03:40:00	13200	114	92	0	150	114	92	0	150
03:45:00	13500	108	117	0	141	108	117	0	141
03:50:00	13800	87	106	0	122	87	106	0	122
03:55:00	14100	77	90	0	109	77	90	0	109
04:00:00	14400	137	94	0	152	137	94	0	152
04:05:00	14700	172	116	0	208	172	116	0	208
04:10:00	15000	171	161	0	218	171	161	0	218
04:15:00	15300	158	152	0	224	158	152	0	224
04:20:00	15600	137	161	0	200	137	161	0	200
04:25:00	15900	175	144	0	231	175	144	0	231
04:30:00	16200	143	162	0	212	143	162	0	212
04:35:00	16500	174	168	0	218	174	168	0	218
04:40:00	16800	171	169	0	220	171	169	0	220
04:45:00	17100	174	162	0	232	174	162	0	232
04:50:00	17400	169	168	0	233	169	168	0	233
04:55:00	17700	198	188	0	243	198	188	0	243
05:00:00	18000	608	209	0	642	608	209	0	642
05:05:00	18300	636	476	0	802	636	476	0	802
05:10:00	18600	627	598	0	831	627	598	0	831
05:15:00	18900	617	627	0	821	617	627	0	821
05:20:00	19200	686	631	0	876	686	631	0	876
05:25:00	19500	664	627	0	913	664	627	0	913
05:30:00	19800	658	683	0	888	658	683	0	888
05:35:00	20100	703	673	0	918	703	673	0	918
05:40:00	20400	709	689	0	938	709	689	0	938
05:45:00	20700	671	689	0	920	671	689	0	920
05:50:00	21000	720	687	0	953	720	687	0	953
05:55:00	21300	765	713	0	1005	765	713	0	1005
06:00:00	21600	1869	805	0	2069	1869	805	0	2069
06:05:00	21900	1998	1482	0	2585	1998	1482	0	2585
06:10:00	22200	1887	1871	0	2601	1887	1871	0	2601
06:15:00	22500	1974	1888	0	2687	1974	1888	0	2687
06:20:00	22800	1993	1923	0	2757	1993	1923	0	2757
06:25:00	23100	1955	1962	0	2750	1955	1962	0	2750
06:30:00	23400	1894	1860	0	2784	1894	1860	0	2784
