time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	169	16	0	153	169	16	0	153
00:05:00	300	143	121	0	175	143	121	0	175
00:10:00	600	140	135	0	180	140	135	0	180
00:15:00	900	116	130	0	166	116	130	0	166
00:20:00	1200	114	124	0	156	114	124	0	156
00:25:00	1500	132	114	0	174	132	114	0	174
00:30:00	1800	140	135	0	179	140	135	0	179
00:35:00	2100	106	134	0	151	106	134	0	151
00:40:00	2400	102	110	0	143	102	110	0	143
00:45:00	2700	96	103	0	136	96	103	0	136
00:50:00	3000	94	103	0	127	94	103	0	127
00:55:00	3300	64	94	0	97	64	94	0	97
01:00:00	3600	102	80	0	119	102	80	0	119
01:05:00	3900	126	85	0	160	126	85	0	160
01:10:00	4200	104	117	0	147	104	117	0	147
01:15:00	4500	105	109	0	143	105	109	0	143
01:20:00	4800	116	98	0	161	116	98	0	161
01:25:00	5100	98	135	0	124	98	135	0	124
01:30:00	5400	93	96	0	121	93	96	0	121
01:35:00	5700	98	99	0	120	98	99	0	120
01:40:00	6000	92	95	0	117	92	95	0	117
01:45:00	6300	67	89	0	95	67	89	0	95
01:50:00	6600	101	67	0	129	101	67	0	129
01:55:00	6900	64	87	0	106	64	87	0	106
02:00:00	7200	88	81	0	113	88	81	0	113
02:05:00	7500	70	80	0	103	70	80	0	103
02:10:00	7800	76	80	0	99	76	80	0	99
02:15:00	8100	101	76	0	124	101	76	0	124
02:20:00	8400	87	88	0	123	87	88	0	123
02:25:00	8700	90	100	0	113	90	100	0	113
02:30:00	9000	108	86	0	135	108	86	0	135
02:35:00	9300	119	97	0	157	119	97	0	157
02:40:00	9600	122	120	0	159	122	120	0	159
02:45:00	9900	111	118	0	152	111	118	0	152
02:50:00	10200	113	103	0	162	113	103	0	162
02:55:00	10500	131	129	0	164	131	129	0	164
03:00:00	10800	116	118	0	162	116	118	0	162
03:05:00	11100	93	113	0	142	93	113	0	142
03:10:00	11400	121	110	0	153	121	110	0	153
03:15:00	11700	89	122	0	120	89	122	0	120
03:20:00	12000	121	102	0	139	121	102	0	139
03:25:00	12300	113	97	0	155	113	97	0	155
03:30:00	12600	97	121	0	131	97	121	0	131
03:35:00	12900	90	97	0	124	90	97	0	124
03:40:00	13200	116	87	0	153	116	87	0	153
03:45:00	13500	104	112	0	145	104	112	0	145
03:50:00	13800	89	111	0	123	89	111	0	123
03:55:00	14100	80	94	0	109	80	94	0	109
04:00:00	14400	131	89	0	151	131	89	0	151
04:05:00	14700	161	116	0	196	161	116	0	196
04:10:00	15000	171	147	0	220	171	147	0	220
04:15:00	15300	164	149	0	235	164	149	0	235
04:20:00	15600	137	175	0	197	137	175	0	197
04:25:00	15900	174	139	0	232	174	139	0	232
04:30:00	16200	142	162	0	212	142	162	0	212
04:35:00	16500	178	177	0	213	178	177	0	213
04:40:00	16800	180	160	0	233	180	160	0	233
04:45:00	17100	160	168	0	225	160	168	0	225
04:50:00	17400	165	174	0	216	165	174	0	216
04:55:00	17700	191	169	0	238	191	169	0	238
05:00:00	18000	620	204	0	654	620	204	0	654
05:05:00	18300	640	477	0	817	640	477	0	817
05:10:00	18600	629	616	0	830	629	616	0	830
05:15:00	18900	625	638	0	817	625	638	0	817
05:20:00	19200	649	618	0	848	649	618	0	848
05:25:00	19500	666	620	0	894	666	620	0	894
05:30:00	19800	667	666	0	895	667	666	0	895
05:35:00	20100	704	688	0	911	704	688	0	911
05:40:00	20400	699	660	0	950	699	660	0	950
05:45:00	20700	705	715	0	940	705	715	0	940
05:50:00	21000	743	704	0	979	743	704	0	979
05:55:00	21300	755	721	0	1013	755	721	0	1013
06:00:00	21600	1897	815	0	2095	1897	815	0	2095
06:05:00	21900	1948	1492	0	2551	1948	1492	0	2551
06:10:00	22200	1872	1843	0	2580	1872	1843	0	2580
06:15:00	22500	1953	1839	0	2694	1953	1839	0	2694
06:20:00	22800	1985	1927	0	2752	1985	1927	0	2752
06:25:00	23100	1956	1935	0	2773	1956	1935	0	2773
06:30:00	23400	1924	1909	0	2788	1924	1909	0	2788
06:35:00	23700	1912	1878	0	2822	1912	1878	0	2822
06:40:00	24000	2000	1887	0	2935	2000	1887	0	2935
06:45:00	24300	1906	1954	0	2887	1906	1954	0	2887
06:50:00	24600	1952	1880	0	2959	1952	1880	0	2959
06:55:00	24900	1966	1902	0	3023	1966	1902	0	3023
07:00:00	25200	2570	1944	0	3649	2570	1944	0	3649
07:05:00	25500	2514	2187	0	3976	2514	2187	0	3976
07:10:00	25800	2489	2300	0	4165	2489	2300	0	4165
07:15:00	26100	2482	2195	0	4452	2482	2195	0	4452
07:20:00	26400	2421	2227	0	4646	2421	2227	0	4646
07:25:00	26700	2442	2258	0	4830	2442	2258	0	4830
07:30:00	27000	2435	2221	0	5044	2435	2221	0	5044
07:35:00	27300	2474	2124	0	5394	2474	2124	0	5394
07:40:00	27600	2398	2236	0	5556	2398	2236	0	5556
07:45:00	27900	2491	2211	0	5836	2491	2211	0	5836
07:50:00	28200	2398	2173	0	6061	2398	2173	0	6061
07:55:00	28500	2440	2079	0	6422	2440	2079	0	6422
08:00:00	28800	1039	2124	0	5337	1039	2124	0	5337
08:05:00	29100	1060	1777	0	4620	1060	1777	0	4620
08:10:00	29400	1018	1292	0	4346	1018	1292	0	4346
08:15:00	29700	1016	1316	0	4046	1016	1316	0	4046
08:20:00	30000	968	1267	0	3747	968	1267	0	3747
08:25:00	30300	1001	1114	0	3634	1001	1114	0	3634
08:30:00	30600	993	1201	0	3426	993	1201	0	3426
08:35:00	30900	1010	1220	0	3216	1010	1220	0	3216
08:40:00	31200	906	1166	0	2956	906	1166	0	2956
08:45:00	31500	1029	1107	0	2878	1029	1107	0	2878
08:50:00	31800	1000	1121	0	2757	1000	1121	0	2757
08:55:00	32100	989	1090	0	2656	989	1090	0	2656
09:00:00	32400	391	1010	0	2037	391	1010	0	2037
09:05:00	32700	375	775	0	1637	375	775	0	1637
09:10:00	33000	404	574	0	1467	404	574	0	1467
09:15:00	33300	354	557	0	1264	354	557	0	1264
09:20:00	33600	344	531	0	1077	344	531	0	1077
09:25:00	33900	354	489	0	942	354	489	0	942
09:30:00	34200	340	506	0	776	340	506	0	776
09:35:00	34500	359	431	0	704	359	431	0	704
09:40:00	34800	317	461	0	560	317	461	0	560
09:45:00	35100	353	436	0	477	353	436	0	477
09:50:00	35400	329	326	0	480	329	326	0	480
09:55:00	35700	351	345	0	486	351	345	0	486
10:00:00	36000	273	364	0	395	273	364	0	395
10:05:00	36300	244	301	0	338	244	301	0	338
10:10:00	36600	247	255	0	330	247	255	0	330
10:15:00	36900	251	260	0	321	251	260	0	321
10:20:00	37200	243	253	0	311	243	253	0	311
10:25:00	37500	240	230	0	321	240	230	0	321
10:30:00	37800	264	240	0	345	264	240	0	345
10:35:00	38100	241	263	0	323	241	263	0	323
10:40:00	38400	262	244	0	341	262	244	0	341
10:45:00	38700	287	254	0	374	287	254	0	374
10:50:00	39000	249	281	0	342	249	281	0	342
10:55:00	39300	248	265	0	325	248	265	0	325
11:00:00	39600	130	229	0	226	130	229	0	226
11:05:00	39900	142	178	0	190	142	178	0	190
11:10:00	40200	102	153	0	139	102	153	0	139
11:15:00	40500	136	107	0	168	136	107	0	168
11:20:00	40800	132	129	0	171	132	129	0	171
11:25:00	41100	153	124	0	200	153	124	0	200
11:30:00	41400	121	149	0	172	121	149	0	172
11:35:00	41700	133	135	0	170	133	135	0	170
11:40:00	42000	125	128	0	167	125	128	0	167
11:45:00	42300	123	120	0	170	123	120	0	170
11:50:00	42600	119	139	0	150	119	139	0	150
11:55:00	42900	151	116	0	185	151	116	0	185
12:00:00	43200	249	152	0	282	249	152	0	282
12:05:00	43500	264	208	0	338	264	208	0	338
12:10:00	43800	284	260	0	362	284	260	0	362
12:15:00	44100	282	262	0	382	282	262	0	382
12:20:00	44400	271	290	0	363	271	290	0	363
12:25:00	44700	298	255	0	406	298	255	0	406
12:30:00	45000	289	295	0	400	289	295	0	400
12:35:00	45300	281	304	0	377	281	304	0	377
12:40:00	45600	313	284	0	406	313	284	0	406
12:45:00	45900	313	302	0	417	313	302	0	417
12:50:00	46200	293	315	0	395	293	315	0	395
12:55:00	46500	309	309	0	395	309	309	0	395
13:00:00	46800	478	307	0	566	478	307	0	566
13:05:00	47100	461	393	0	634	461	393	0	634
13:10:00	47400	448	470	0	612	448	470	0	612
13:15:00	47700	475	474	0	613	475	474	0	613
13:20:00	48000	469	471	0	611	469	471	0	611
13:25:00	48300	446	461	0	596	446	461	0	596
13:30:00	48600	503	452	0	647	503	452	0	647
13:35:00	48900	438	459	0	626	438	459	0	626
13:40:00	49200	505	519	0	612	505	519	0	612
13:45:00	49500	557	464	0	705	557	464	0	705
13:50:00	49800	512	498	0	719	512	498	0	719
13:55:00	50100	493	547	0	665	493	547	0	665
14:00:00	50400	332	510	0	487	332	510	0	487
14:05:00	50700	363	370	0	480	363	370	0	480
14:10:00	51000	388	351	0	517	388	351	0	517
14:15:00	51300	443	375	0	585	443	375	0	585
14:20:00	51600	476	451	0	610	476	451	0	610
14:25:00	51900	480	446	0	644	480	446	0	644
14:30:00	52200	579	502	0	721	579	502	0	721
14:35:00	52500	592	520	0	793	592	520	0	793
14:40:00	52800	605	585	0	813	605	585	0	813
14:45:00	53100	637	600	0	850	637	600	0	850
14:50:00	53400	668	636	0	882	668	636	0	882
14:55:00	53700	792	645	0	1029	792	645	0	1029
15:00:00	54000	770	760	0	1039	770	760	0	1039
15:05:00	54300	899	824	0	1114	899	824	0	1114
15:10:00	54600	933	800	0	1247	933	800	0	1247
15:15:00	54900	1035	972	0	1310	1035	972	0	1310
15:20:00	55200	1182	975	0	1517	1182	975	0	1517
15:25:00	55500	1272	1139	0	1650	1272	1139	0	1650
15:30:00	55800	1419	1242	0	1827	1419	1242	0	1827
15:35:00	56100	1516	1338	0	2005	1516	1338	0	2005
15:40:00	56400	1633	1490	0	2148	1633	1490	0	2148
15:45:00	56700	1710	1617	0	2241	1710	1617	0	2241
15:50:00	57000	1829	1618	0	2452	1829	1618	0	2452
15:55:00	57300	1808	1735	0	2525	1808	1735	0	2525
16:00:00	57600	1908	1815	0	2618	1908	1815	0	2618
16:05:00	57900	2005	1838	0	2785	2005	1838	0	2785
16:10:00	58200	2049	1871	0	2963	2049	1871	0	2963
16:15:00	58500	2108	1976	0	3095	2108	1976	0	3095
16:20:00	58800	2215	2036	0	3274	2215	2036	0	3274
16:25:00	59100	2207	2096	0	3385	2207	2096	0	3385
16:30:00	59400	2243	2068	0	3560	2243	2068	0	3560
16:35:00	59700	2347	2203	0	3704	2347	2203	0	3704
16:40:00	60000	2376	2152	0	3928	2376	2152	0	3928
16:45:00	60300	2362	2275	0	4015	2362	2275	0	4015
16:50:00	60600	2363	2270	0	4108	2363	2270	0	4108
16:55:00	60900	2469	2253	0	4324	2469	2253	0	4324
17:00:00	61200	2414	2354	0	4384	2414	2354	0	4384
17:05:00	61500	2255	2277	0	4362	2255	2277	0	4362
17:10:00	61800	2167	2245	0	4284	2167	2245	0	4284
17:15:00	62100	2136	2116	0	4304	2136	2116	0	4304
17:20:00	62400	2075	2139	0	4240	2075	2139	0	4240
17:25:00	62700	1873	1989	0	4124	1873	1989	0	4124
17:30:00	63000	1717	1989	0	3852	1717	1989	0	3852
17:35:00	63300	1602	1774	0	3680	1602	1774	0	3680
17:40:00	63600	1486	1644	0	3522	1486	1644	0	3522
17:45:00	63900	1314	1655	0	3181	1314	1655	0	3181
17:50:00	64200	1292	1451	0	3022	1292	1451	0	3022
17:55:00	64500	1111	1336	0	2797	1111	1336	0	2797
18:00:00	64800	955	1283	0	2469	955	1283	0	2469
18:05:00	65100	913	1092	0	2290	913	1092	0	2290
18:10:00	65400	899	1050	0	2139	899	1050	0	2139
18:15:00	65700	849	1027	0	1961	849	1027	0	1961
18:20:00	66000	801	904	0	1858	801	904	0	1858
18:25:00	66300	741	923	0	1676	741	923	0	1676
18:30:00	66600	638	761	0	1553	638	761	0	1553
18:35:00	66900	579	739	0	1393	579	739	0	1393
18:40:00	67200	512	650	0	1255	512	650	0	1255
18:45:00	67500	482	602	0	1135	482	602	0	1135
18:50:00	67800	404	565	0	974	404	565	0	974
